1	3 
2	21 
3	18 
4	17 
5	6 15 16 
6	11 15 16 
7	7 
8	19 
9	8 
10	13 
11	7 
12	7 
13	11 
14	27 
15	17 
16	18 
17	18 
18	19 
19	16 
20	15 
21	14 15 18 
22	26 
23	21 
24	13 
25	6 
26	19 
27	19 
28	15 
29	22 
30	24 
31	6 
32	2 
33	26 
34	4 
35	16 
36	12 
37	4 13 26 
38	16 
39	15 
40	14 
41	11 
42	14 
43	21 
44	18 
45	26 
46	21 
47	18 
48	15 
49	27 
50	22 
51	4 6 25 
52	9 
53	16 
54	7 
55	14 
56	17 
57	15 
58	9 
59	17 21 27 
60	14 
61	21 
62	6 
63	6 
64	18 19 23 
65	19 
66	9 15 16 
67	14 
68	12 
69	10 
70	25 
71	5 
72	20 
73	14 15 27 
74	13 
75	1 
76	27 
77	6 
78	21 
79	16 
80	19 
81	17 
82	9 
83	4 
84	25 
85	14 
86	11 
87	17 
88	10 
89	1 
90	15 
91	3 
92	7 
93	15 
94	4 6 14 
95	9 
96	9 
97	19 
98	8 
99	15 
100	8 
101	3 
102	24 
103	4 17 19 
104	12 
105	14 15 22 
106	27 
107	23 
108	6 
109	21 
110	15 
111	19 
112	3 
113	16 
114	22 
115	19 
116	9 
117	16 
118	18 
119	19 
120	12 
121	15 
122	5 
123	6 
124	13 
125	1 
126	14 
127	5 
128	14 
129	19 
130	10 
131	15 
132	19 
133	16 
134	14 
135	15 
136	7 
137	13 
138	1 
139	22 
140	26 
141	20 
142	11 15 21 
143	6 
144	4 
145	16 
146	2 
147	3 
148	23 
149	21 
150	11 
151	11 
152	14 
153	14 
154	26 
155	4 
156	17 
157	9 
158	9 
159	19 
160	4 
161	14 
162	9 19 26 
163	5 
164	6 
165	21 
166	11 15 26 
167	22 
168	1 
169	17 
170	14 
171	18 
172	14 
173	21 
174	20 
175	21 
176	19 
177	1 
178	17 
179	20 
180	21 
181	20 
182	11 
183	22 
184	13 
185	8 17 19 
186	23 
187	15 
188	22 
189	16 
190	6 10 27 
191	2 
192	26 
193	7 
194	5 15 19 
195	6 
196	21 
197	19 
198	11 15 16 
199	4 
200	7 
201	8 
202	12 
203	11 
204	10 
205	27 
206	21 
207	8 
208	21 
209	11 21 26 
210	19 
211	17 
212	15 
213	13 
214	13 
215	16 21 23 
216	21 
217	21 
218	19 
219	15 19 23 
220	8 
221	21 
222	14 
223	4 
224	19 
225	23 
226	4 
227	13 
228	5 
229	12 
230	15 
231	2 
232	15 
233	21 
234	23 
235	16 
236	14 
237	13 
238	18 
239	23 
240	2 8 19 
241	26 
242	2 
243	19 
244	21 
245	15 
246	6 
247	6 19 23 
248	12 19 22 
249	13 
250	7 
251	13 
252	13 
253	10 
254	19 
255	24 
256	1 
257	12 
258	17 
259	2 12 21 
260	21 
261	18 
262	5 
263	21 
264	7 
265	20 
266	3 13 21 
267	12 
268	7 
269	1 3 21 
270	17 
271	19 
272	1 
273	6 9 25 
274	15 
275	7 
276	11 
277	13 
278	10 13 14 
279	21 
280	8 
281	1 2 10 
282	5 
283	24 
284	13 
285	13 
286	25 
287	21 
288	19 
289	1 
290	15 
291	19 
292	5 
293	4 
294	3 14 19 
295	21 
296	17 
297	17 18 25 
298	13 
299	4 
300	2 
301	21 
302	19 
303	6 
304	13 
305	16 
306	13 
307	18 
308	11 
309	7 15 20 
310	3 6 18 
311	11 15 18 
312	11 
313	10 13 17 
314	15 
315	11 
316	20 
317	4 
318	14 
319	14 
320	26 
321	17 
322	5 
323	10 
324	5 
325	3 
326	23 
327	6 
328	16 
329	5 
330	15 
331	11 
332	5 
333	3 
334	5 
335	7 17 19 
336	26 
337	6 13 19 
338	21 
339	7 
340	12 
341	19 
342	8 
343	7 
344	21 
345	16 
346	4 
347	9 
348	14 
349	13 
350	21 
351	13 
352	15 
353	11 
354	21 
355	2 
356	12 14 23 
357	13 
358	24 
359	6 
360	26 
361	27 
362	16 
363	18 
364	11 
365	8 
366	10 
367	1 
368	9 18 21 
369	14 
370	19 
371	16 
372	17 
373	10 
374	22 
375	5 15 16 
376	19 
377	15 
378	24 
379	18 
380	14 17 18 
381	2 
382	15 
383	16 
384	1 
385	16 17 25 
386	7 
387	11 
388	25 
389	8 
390	7 
391	9 
392	12 
393	21 
394	9 
395	5 
396	13 
397	15 
398	15 
399	3 10 23 
400	13 
401	17 
402	19 
403	16 
404	6 
405	23 
406	5 
407	1 
408	25 
409	11 
410	15 
411	26 
412	5 7 19 
413	5 12 15 
414	11 
415	14 
416	12 
417	4 
418	11 
419	9 
420	13 
421	7 
422	9 
423	7 
424	21 
425	14 
426	13 
427	21 
428	19 
429	19 
430	16 
431	16 
432	17 
433	14 
434	1 
435	13 
436	18 
437	18 
438	3 
439	13 
440	16 
441	18 
442	15 
443	4 
444	16 
445	17 
446	16 
447	4 
448	17 
449	3 14 15 
450	25 
451	19 
452	13 
453	5 13 21 
454	22 
455	14 17 19 
456	17 19 20 
457	21 
458	24 
459	26 
460	24 
461	19 
462	15 
463	9 
464	14 
465	11 
466	5 
467	21 
468	21 
469	18 
470	11 
471	7 
472	2 
473	15 
474	8 
475	6 17 18 
476	1 13 15 
477	21 
478	18 
479	26 
480	6 
481	5 
482	19 
483	9 
484	19 
485	21 
486	7 
487	15 
488	3 
489	19 
490	5 17 21 
491	6 
492	16 
493	21 
494	15 
495	25 
496	13 
497	17 
498	23 
499	6 
500	3 14 17 
501	16 
502	7 
503	1 
504	21 
505	11 
506	18 
507	23 
508	20 
509	14 
510	21 
511	21 
512	7 
513	20 
514	15 
515	5 
516	11 
517	21 
518	5 21 25 
519	5 13 19 
520	2 13 18 
521	21 
522	2 
523	5 
524	15 
525	3 
526	13 
527	7 
528	10 
529	16 
530	12 
531	21 
532	5 
533	15 
534	17 
535	18 
536	11 
537	8 12 19 
538	9 
539	6 
540	11 
541	9 13 19 
542	5 
543	13 
544	19 
545	2 
546	14 
547	15 
548	5 
549	21 
550	23 
551	5 
552	18 
553	11 
554	25 
555	13 
556	9 14 19 
557	8 
558	15 
559	21 
560	13 
561	1 13 16 
562	4 
563	13 
564	25 
565	22 
566	18 
567	25 
568	11 
569	19 
570	21 
571	26 
572	17 
573	19 
574	15 
575	14 
576	20 
577	13 
578	4 
579	19 
580	12 
581	14 
582	4 
583	15 
584	6 
585	2 
586	10 
587	1 
588	13 
589	18 
590	26 
591	11 
592	14 19 24 
593	16 
594	21 
595	5 
596	15 
597	13 
598	5 
599	13 
600	14 15 17 
601	27 
602	8 
603	22 
604	4 
605	23 
606	13 
607	2 
608	8 
609	17 
610	23 
611	18 
612	11 
613	6 7 21 
614	12 
615	11 
616	14 16 21 
617	10 
618	16 
619	11 
620	11 
621	21 
622	21 
623	19 
624	5 
